Date,Hour,Minute,Volume
20190123,6,0,14034.00
20190123,7,0,15888.90
20190123,8,0,16388.10
20190123,9,0,16231.50
20190123,10,0,15928.60
20190123,11,0,15881.20
20190123,12,0,15460.10
20190123,13,0,15513.90
20190123,14,0,15503.30
20190123,15,0,15485.20
20190123,16,0,15591.60
20190123,17,0,15967.00
20190123,18,0,16882.90
20190123,19,0,16457.70
20190123,20,0,15745.80
20190123,21,0,14884.60
20190123,22,0,13767.60
20190123,23,0,12741.80
20190123,24,0,11723.30
20190124,1,0,11721.20
20190124,2,0,11742.70
20190124,3,0,11617.60
20190124,4,0,11618.90
20190124,5,0,11708.60
20190124,6,0,12094.50
20190124,7,0,13235.50
20190124,8,0,14210.00
20190124,9,0,14221.90
20190124,10,0,14305.30
20190124,11,0,14465.40
20190124,12,0,14332.00
20190124,13,0,14392.40
20190124,14,0,14378.70
20190124,15,0,14528.60
20190124,16,0,14446.60
20190124,17,0,15004.90
20190124,18,0,16094.50
20190124,19,0,15806.40
20190124,20,0,15566.30
20190124,21,0,15087.20
20190124,22,0,14159.00
20190124,23,0,13254.50
20190124,24,0,12170.50
20190125,1,0,11575.50
20190125,2,0,11288.20
20190125,3,0,11160.60
20190125,4,0,11169.30
20190125,5,0,11473.90
20190125,6,0,12122.80
20190125,7,0,14079.30
20190125,8,0,15064.50
20190125,9,0,14703.60
20190125,10,0,14393.70
20190125,11,0,14239.40
20190125,12,0,13935.10
20190125,13,0,13786.50
20190125,14,0,13846.40
20190125,15,0,13990.20
20190125,16,0,14416.50
20190125,17,0,15379.40
20190125,18,0,16281.80
20190125,19,0,16146.10
20190125,20,0,15890.00
20190125,21,0,15247.20
20190125,22,0,14462.20
20190125,23,0,13354.20
20190125,24,0,12418.20
20190126,1,0,12065.40
20190126,2,0,11954.30
20190126,3,0,12045.00
20190126,4,0,12020.10
20190126,5,0,12107.50
20190126,6,0,12418.70
20190126,7,0,13113.90
20190126,8,0,14212.70
20190126,9,0,14952.70
20190126,10,0,15074.80
20190126,11,0,14791.30
20190126,12,0,14631.90
20190126,13,0,14494.90
20190126,14,0,14292.60
20190126,15,0,14324.30
20190126,16,0,14581.30
20190126,17,0,15358.80
20190126,18,0,16661.10
20190126,19,0,16451.60
20190126,20,0,15777.30
20190126,21,0,15407.60
20190126,22,0,14577.50
20190126,23,0,13543.30
20190126,24,0,12568.90
20190127,1,0,12084.10
20190127,2,0,11858.40
20190127,3,0,11551.70
20190127,4,0,11473.60
20190127,5,0,11576.70
20190127,6,0,11927.00
20190127,7,0,12138.90
20190127,8,0,12770.50
20190127,9,0,13290.00
20190127,10,0,13477.80
20190127,11,0,13284.00
20190127,12,0,13245.40
20190127,13,0,13131.20
20190127,14,0,13030.50
20190127,15,0,13145.50
20190127,16,0,13456.70
20190127,17,0,14069.30
20190127,18,0,14965.30
20190127,19,0,14732.00
20190127,20,0,14268.90
20190127,21,0,13913.30
20190127,22,0,12859.60
20190127,23,0,11998.60
20190127,24,0,11447.60
20190128,1,0,11704.40
20190128,2,0,11470.30
20190128,3,0,11484.10
20190128,4,0,11590.20
20190128,5,0,11772.70
20190128,6,0,12472.40
20190128,7,0,14702.50
20190128,8,0,15808.00
20190128,9,0,15424.00
20190128,10,0,15263.10
20190128,11,0,15079.50
20190128,12,0,14795.70
20190128,13,0,14677.20
20190128,14,0,14562.40
20190128,15,0,14653.50
20190128,16,0,15026.10
20190128,17,0,16030.70
20190128,18,0,17429.10
20190128,19,0,17203.70
20190128,20,0,16743.90
20190128,21,0,16332.40
20190128,22,0,15077.80
20190128,23,0,13722.60
20190128,24,0,12535.60
20190129,1,0,12425.80
20190129,2,0,12359.50
20190129,3,0,12513.70
20190129,4,0,12505.80
20190129,5,0,12765.30
20190129,6,0,13385.00
20190129,7,0,14869.90
20190129,8,0,15673.40
20190129,9,0,15712.00
20190129,10,0,15604.70
20190129,11,0,15588.40
20190129,12,0,15450.10
20190129,13,0,15231.80
20190129,14,0,15221.80
20190129,15,0,15208.60
20190129,16,0,15215.60
20190129,17,0,15900.00
20190129,18,0,16956.10
20190129,19,0,16482.50
20190129,20,0,15576.10
20190129,21,0,14732.70
20190129,22,0,13800.60
20190129,23,0,12566.40
20190129,24,0,11814.70
20190130,1,0,12811.20
20190130,2,0,12762.00
20190130,3,0,12705.50
20190130,4,0,12820.10
20190130,5,0,12799.30
20190130,6,0,13233.20
20190130,7,0,15470.00
20190130,8,0,16391.60
20190130,9,0,16255.10
20190130,10,0,16118.20
20190130,11,0,15654.80
20190130,12,0,15254.70
20190130,13,0,15131.40
20190130,14,0,15164.30
20190130,15,0,15370.20
20190130,16,0,15792.10
20190130,17,0,17186.70
20190130,18,0,18959.50
20190130,19,0,18671.80
20190130,20,0,18313.00
20190130,21,0,17822.50
20190130,22,0,17114.20
20190130,23,0,16011.70
20190130,24,0,14922.10
20190131,1,0,15220.00
20190131,2,0,15136.40
20190131,3,0,14881.70
20190131,4,0,14928.60
20190131,5,0,15060.30
20190131,6,0,16242.50
20190131,7,0,17941.80
20190131,8,0,19004.50
20190131,9,0,19058.40
20190131,10,0,18734.80
20190131,11,0,18070.00
20190131,12,0,17688.70
20190131,13,0,17452.00
20190131,14,0,17393.20
20190131,15,0,17573.90
20190131,16,0,17876.50
20190131,17,0,18769.10
20190131,18,0,19964.80
20190131,19,0,19875.60
20190131,20,0,19249.60
20190131,21,0,18503.90
20190131,22,0,17331.60
20190131,23,0,15951.30
20190131,24,0,14552.90
20190201,1,0,14215.70
20190201,2,0,14062.90
20190201,3,0,13954.40
20190201,4,0,13941.50
20190201,5,0,14027.20
20190201,6,0,14945.60
20190201,7,0,16925.70
20190201,8,0,17924.80
20190201,9,0,17617.30
20190201,10,0,17170.20
20190201,11,0,17097.30
20190201,12,0,16889.00
20190201,13,0,16602.00
20190201,14,0,16428.90
20190201,15,0,16198.90
20190201,16,0,16373.30
20190201,17,0,17151.40
20190201,18,0,18315.90
20190201,19,0,17868.70
20190201,20,0,17546.40
20190201,21,0,16839.40
20190201,22,0,16069.90
20190201,23,0,15140.90
20190201,24,0,13992.40
20190202,1,0,13512.40
20190202,2,0,12878.40
20190202,3,0,12831.50
20190202,4,0,12877.10
20190202,5,0,12956.10
20190202,6,0,13408.70
20190202,7,0,14342.10
20190202,8,0,15223.80
20190202,9,0,15904.40
20190202,10,0,15942.30
20190202,11,0,15774.90
20190202,12,0,15589.50
20190202,13,0,15050.70
20190202,14,0,14653.70
20190202,15,0,14480.50
20190202,16,0,14870.80
